# Named deltas — every fragment removed from a node's content region during the row-456 relocation apply.
# Each survives at another home: a DUPLICATE at the spec clause the audit cited, a RULE→spec at the spec
# clause it moves to, a DROP in the journal. apply-proof.py adds these back to the new node content and
# checks the converted node content is reproduced exactly. One fragment per line, verbatim.

# --- inbox ---
INV-249 DUPLICATE: "the atomic-write deposit protocol — a deposit is written under a `.draft` name and made final by an atomic rename, the receiving sweep reading only a complete deposit and never a mid-write file"
INV-232 DUPLICATE: "a consumer reading a private contract over git"
INV-232 DUPLICATE: "needs a read grant the push grant does not supply"
INV-232 DUPLICATE: "the producer repo readable by the consumer's seat"
INV-232 DUPLICATE: "recorded in the host profile beside the push grant the push-law owns"
INV-232 RULE: "as `trust.read-grant`"
INV-232 DUPLICATE: "a grantless seat fails honestly naming the grant it lacks by the honest-failure rule"

# --- attach ---
INV-227 DUPLICATE: "the founding-question set is versioned"
INV-227 DUPLICATE: "the update check's founding arm names each never-answered question"

# --- text-audit ---
INV-266 DUPLICATE: "the comprehension gate: the mechanical-lint layer runs first and free"
INV-267 DUPLICATE: "then a cold-reader panel reads each changed section until two consecutive reads return zero blocking findings"
INV-268 DUPLICATE: "and a reader-named source hole opens a queue row"
text-audit DROP: "added row 458"

# --- host-contract ---
host-contract DROP: "row 38 landed 2026-07-05"
host-contract DROP: "row 52 landed 2026-07-05"
