# --- product-prover ---
INV-167 DUPLICATE: "the state a re-entry opens in, the complement of entry-symmetry's path-existence check"
INV-168 DUPLICATE: "the parent of the motion and entry-state lenses"
INV-101/INV-150 DUPLICATE: "including its per-law net-check"
INV-101/INV-150 DUPLICATE: "a declared law with no named net is a broken invariant, backstopped by the every-fact-owned-once check below"
INV-126 DUPLICATE: "with its reversibility-of-means half"
INV-144 DUPLICATE: "a product-vs-spec divergence it names routes by the spec-is-the-definition-of-correct reconciliation law, owned by build-pipeline"
INV-43 DUPLICATE: "a prototype-born clause with no pointer, or text contradicting its own artifact, is a finding"
INV-248 DUPLICATE: "the dual of the composition-axes law: a declared axis adding runtime code that ships as one artifact with no named reason and no owed delivery road is a finding"
INV-248 DROP: "the lens carries the prover's dual-discovery habit"
INV-141 DUPLICATE: "which reaches the undeclared same-kind groupings the uniformity lens cannot"

# --- build-pipeline ---
INV-247 DUPLICATE: "a deferred item's own state is re-derived from the code before its work resumes"
INV-247 DUPLICATE: "a discipline the seat holds at the queue-take walk with no mechanical gate"
INV-221 DUPLICATE: "grading the size of a change is the reader's act in either direction, both poles one bias"
INV-221 DUPLICATE: "binding every text and carried into the worker brief beside the no-scissors law so a worker's report and agent-to-agent message obey it"
INV-221 DUPLICATE: "no new machine, since the register judge already holds the class on the chat and document surfaces"
INV-222 DUPLICATE: "a `far`-status row carries no revisit trigger and no plan to run"
INV-222 DUPLICATE: "a queue-status sibling of `deferred` [INV-129] told apart by the trigger"
INV-222 DUPLICATE: "the runnable what's-left report stands it down by name and offers it on request"
INV-222 DUPLICATE: "the fixture check `guardrails/check-far-tier.py` reds a far row named among runnable work, riding the suite and not the push chain since a chat report is no committed file to gate"
INV-233 DUPLICATE: "a node's fitness is re-answered as it grows"
INV-233 DUPLICATE: "node co-residence in one file is the counted signal"
INV-233 DUPLICATE: "the measured thing is nodes-per-file read from this doc's own pin column as the count of distinct nodes naming a file"
INV-233 DUPLICATE: "raw size rejected as INV-41's vanity metric"
INV-233 DUPLICATE: "the ratcheted counter `guardrails/node_growth_counter.py` with its cap `guardrails/node-file-cap.json` seeded at the current count so the tree lands green while any increase reds and the cap ratchets down only [INV-164]"
INV-233 RULE: "riding the suite `tests/test_node_growth.py` and taking no push-gate letter the way the far-tier check takes none"
INV-233 DUPLICATE: "the design review's split proposal in its two-objects finding shape, carried by design-reviewer as wiring"
INV-233 DUPLICATE: "a split is a structure change carved by the architecture step alone and re-proven there [INV-37, INV-113]"
INV-233 DUPLICATE: "the declared-layers rule saying what counts as a code file"
INV-235 DUPLICATE: "a decision whose reversal costs more than making it did"
INV-235 DUPLICATE: "a new agent's birth, a node carve or merge, a contract's shape once a consumer pinned it, a project's kind, an engine/instance split, a repository going public"
INV-235 DUPLICATE: "earns a fresh-context best-tier audit"
INV-235 DUPLICATE: "where a kind is in question, the design review's two-objects read before it lands"
INV-235 DUPLICATE: "brought to the human with findings and a recommendation, the taste call his"
INV-235 DUPLICATE: "the members are a closed enumerable set named in full on the enumerate-versus-ride keying"
INV-235 DUPLICATE: "agent birth is the first member wired to carry it, T-22's ratification naming the read the owner ratifies on, the rest riding the class-level statement until each is wired member by member"
INV-235 DUPLICATE: "a stated duty at the enumerated decision points with a traceability test `tests/test_expensive_decision_read.py`"
INV-235 RULE: "no new push-gate letter since no gate reads a reversal cost — the far-tier and node-growth checks the precedent"
INV-237 DUPLICATE: "the authoring seat does not adversarially certify its own work"
INV-237 DUPLICATE: "the release's adversarial pass is authored by a fresh differently-contexted seat"
INV-237 DUPLICATE: "a newly added lens is self-applied to its own introducing document before release"
INV-237 DUPLICATE: "a release gate optionally requiring a dated clean-context review record naming a different seat"
